ID,Clase,Descripcion,Unidad,Existencia,Costo
1,MATERIAL DE LIMPIEZA,BOLSA BIODEGRADABLE NEGRA PARA BASURA 90 X 120,KG,99.0,100.0
2,MATERIAL DE LIMPIEZA,"DETERGENTE EN POLVO,BOLSA DE 9",KG,18.0,10.0
3,MATERIAL DE LIMPIEZA,ESCOBA DE MIJO DE 8 HILOS,PZA,10.0,34.0
4,MATERIAL DE LIMPIEZA,ESTOPA,KG,73.0,100.0
5,MATERIAL DE LIMPIEZA,FRANELA,KG,16.0,200.0
6,MATERIAL DE LIMPIEZA,RASTRILLO TIPO ARAÑA GRANDE,PZA,23.0,12.34
7,MATERIAL DE LIMPIEZA,RECOGEDOR,PZA,3.0,12.34
8,MATERIAL DE LIMPIEZA,CEPILLO PARA PAVIMENTO DE 40 CMS DE LONGITUD,PZA,500.0,12.34
9,MATERIAL DE LIMPIEZA,ESCOBA DE ALAMBRE,PZA,3.0,12.34
10,FERRETERIA,ACEITE MINERAL P/COMPRESOR,LT,185.0,15.0
11,FERRETERIA,ACEITE MOTOR DE DOS TIEMPOS 400 ML,PZA,47.0,12.34
12,FERRETERIA,ACELERANTE PARA CONCRETO,GALON,1220.0,45.0
13,FERRETERIA,ADITIVO PARA PEGAR CONCRETO VIEJO CON NUEVO,GALON,45.0,25.0
14,FERRETERIA,ALAMBRE DE PUAS EL POTRERO,ROLLO,4.0,12.34
15,FERRETERIA,ALAMBRE GALVANIZADO CAL 16,KG,138.0,12.34
16,FERRETERIA,ARCO PARA SEGUETA,PZA,172.0,12.34
17,FERRETERIA,BANDA (CINTA) PRECAUCION MAPLE,ROLLO,18.0,12.34
18,FERRETERIA,BANDEROLA NARANJA CON REFLEJANTE,PZA,1005.0,12.34
19,FERRETERIA,BARRA DE ACERO HEXAGONAL DE 1.80 X 1,PZA,23.0,12.34
20,EQUIPO MENOR,BUJIA PARA MOTOSIERRA Desbrozadora Soplador,PZA,24.0,12.34
21,EQUIPO MENOR,CABA HOYOS (SOCIADORA),PZA,115.0,12.34
22,EQUIPO MENOR,CABEZAL AUTOCUT PIDESBROZADORA 40-2,PZA,44.0,12.34
23,EQUIPO MENOR,CABEZAL STIHL AUTOCUT P/DESBROZADORA,PZA,10.0,12.34
24,EQUIPO MENOR,CABLE DE POLIPROPILENO 7/16 DE 30 KG Y 562 M,ROLLO,10.0,12.34
25,EQUIPO MENOR,CADENA DE METAL 3/8,CUBETA,9.0,12.34
26,EQUIPO MENOR,CADENA QUITA FILTROS,PZA,10.0,12.34
27,EQUIPO MENOR,CAMARA PILLANTA DE CARRETILLA MILER,PZA,20.0,12.34
28,EQUIPO MENOR,CAMARA PILLANTA DE CARRETILLA TRUPER,PZA,11.0,12.34
29,EQUIPO MENOR,CARRETILLA CON LLANTA NEUMATICA,PZA,10.0,12.34
30,EQUIPO MENOR,CEPILLO DE ALAMBRE CON CERDAS DE ACERO AL CARBONO,PZA,172.0,12.34
31,EQUIPO MENOR,CINTA AISLANTE NEGRA,PZA,50.0,12.34
32,EQUIPO MENOR,CIZALLA DE 24,PZA,10.0,12.34
33,EQUIPO MENOR,CLAVOS PISTOLA HILTI DE 2 1/2,PZA,1.0,12.34
